ReadDate,Reading,ConsumptionProfileDate,ProfileDateConsumption,H0030,H0100,H0130,H0200,H0230,H0300,H0330,H0400,H0430,H0500,H0530,H0600,H0630,H0700,H0730,H0800,H0830,H0900,H0930,H01000,H01030,H01100,H01130,H01200,H01230,H01300,H01330,H01400,H01430,H01500,H01530,H01600,H01630,H01700,H01730,H01800,H01830,H01900,H01930,H02000,H02030,H02100,H02130,H02200,H02230,H02300,H02330,H02400,ReportingUnit
23/11/2022,1781456,23/11/2022,7817.2361,156.0845,159.269,159.269,159.269,162.4546,159.269,159.269,159.269,162.4546,162.4546,167.9731,174.3122,174.3122,171.1427,174.3122,180.6501,180.6501,186.9891,152.1267,161.6341,174.3122,148.9572,161.6341,167.9731,145.7877,158.4646,161.6341,148.9572,171.1427,171.1427,161.6341,164.8036,164.8036,161.6341,161.6341,171.1427,171.1427,167.9731,161.6341,161.6341,155.2962,155.2962,152.1267,152.1267,152.1267,152.1267,155.2962,161.6341,KWh
19/09/2022,1761173,19/09/2022,4903.711,99.7444,96.5267,99.7444,93.3089,99.7444,96.5267,99.7444,96.5267,99.7444,93.3089,96.768,106.4455,103.2196,112.896,112.896,112.896,112.896,109.6713,112.896,103.2196,109.6713,103.2196,106.4455,106.4455,103.2196,106.4455,103.2196,106.4455,99.9938,103.2196,103.2196,103.2196,103.2196,99.9938,99.9938,99.9938,112.896,96.768,99.9938,99.9938,103.2196,93.5422,96.768,93.5422,103.2196,93.5422,93.5422,99.9938,KWh
08/02/2022,717872,08/02/2022,6879.8193,138.3879,147.823,141.5322,141.5322,144.6776,144.6776,141.5322,141.5322,138.3879,144.6776,145.0476,148.201,160.8136,151.3545,167.1205,148.201,160.8136,176.5797,148.201,151.3545,154.5079,157.6602,91.4427,91.4427,151.3545,154.5079,141.8942,151.3545,141.8942,154.5079,141.8942,151.3545,154.5079,151.3545,119.8224,97.7496,104.0564,157.6602,151.3545,141.8942,145.0476,148.201,138.7419,138.7419,145.0476,145.0476,141.8942,132.435,KWh
09/04/2022,743077,09/04/2022,7410.4002,152.8989,159.269,162.4546,162.4546,159.269,159.269,149.7133,168.8258,156.0845,156.0845,155.6903,165.2219,165.2219,168.3995,165.2219,168.3995,152.5128,171.577,162.0444,155.6903,158.8668,152.5128,149.3352,149.3352,149.3352,149.3352,149.3352,149.3352,149.3352,149.3352,149.3352,146.1577,130.271,130.271,139.8037,152.5128,149.3352,149.3352,152.5128,152.5128,155.6903,152.5128,155.6903,152.5128,149.3352,152.5128,155.6903,162.0444,KWh
14/09/2022,1759847,14/09/2022,4902.544,106.18,93.3089,93.3089,99.7444,93.3089,99.7444,96.5267,96.5267,96.5267,102.9622,105.1182,105.1182,114.6739,111.4883,117.8595,114.6739,108.3038,105.1182,105.1182,105.1182,105.1182,105.1182,105.1182,108.3038,105.1182,105.1182,105.1182,105.1182,105.1182,108.3038,105.1182,105.1182,105.1182,105.1182,101.9326,101.9326,105.1182,101.9326,98.747,105.1182,95.5614,95.5614,92.3758,92.3758,89.1913,92.3758,95.5614,86.0057,KWh
14/03/2022,732742,14/03/2022,7293.3824,148.201,145.0476,151.3545,141.8942,151.3545,148.201,151.3545,154.5079,148.201,160.8136,160.8136,173.4273,179.7331,163.9671,186.0399,173.4273,170.2739,160.8136,157.6602,145.0476,154.5079,148.201,151.3545,148.201,151.3545,148.201,148.201,148.201,145.0476,145.0476,148.201,145.0476,145.0476,148.201,145.0476,148.201,145.0476,141.8942,145.0476,148.201,141.8942,148.201,138.7419,157.6602,132.435,151.3545,148.201,154.5079,KWh
04/01/2022,702135,04/01/2022,7769.598,91.9093,91.9093,91.9093,88.7408,95.0788,91.9093,95.0788,101.4178,95.0788,98.2483,97.9989,110.6437,113.8052,113.8052,113.8052,113.8052,110.6437,116.9666,240.2562,233.9333,278.1905,243.4166,186.5145,151.7406,331.9322,233.9333,177.0301,164.3854,211.8041,195.9978,167.5468,214.9655,186.5145,177.0301,214.9655,173.8698,183.3531,202.3208,161.2239,189.676,186.5145,161.2239,195.9978,173.8698,161.2239,202.3208,158.0624,177.0301,KWh
19/11/2022,1779795,19/11/2022,6953.5721,117.5619,139.8037,127.0934,136.6261,127.0934,133.4486,139.8037,123.917,136.6261,127.0934,127.4152,146.5277,140.1576,152.8989,149.7133,143.3421,152.8989,149.7133,149.7133,159.269,143.3421,152.8989,146.5277,152.8989,152.8989,149.7133,159.269,143.3421,159.269,156.0845,159.269,159.269,159.269,159.269,156.0845,156.0845,143.3421,149.7133,152.8989,143.3421,143.3421,133.7864,143.3421,149.7133,130.6008,143.3421,130.6008,143.3421,KWh
24/12/2022,1795640,24/12/2022,7599.242,145.0476,145.0476,157.6602,160.8136,160.8136,122.9758,157.6602,160.8136,151.3545,141.8942,160.8136,170.2739,173.4273,176.5797,176.5797,173.4273,176.5797,176.5797,176.5797,132.435,176.5797,173.4273,170.2739,132.435,179.7331,148.201,157.6602,176.5797,176.5797,129.2816,176.5797,176.5797,132.435,176.5797,173.4273,138.7419,170.2739,145.0476,154.5079,160.8136,132.435,163.9671,129.2816,160.8136,160.8136,116.669,160.8136,151.3545,KWh
01/04/2022,739946,01/04/2022,8256.0354,171.1427,167.9731,164.8036,167.9731,171.1427,158.4646,164.8036,177.4806,174.3122,167.9731,171.1427,180.6501,183.8196,190.1586,183.8196,196.4966,186.9891,186.9891,190.1586,183.8196,177.4806,164.8036,174.3122,177.4806,174.3122,164.8036,177.4806,161.6341,167.9731,180.6501,164.8036,155.2962,171.1427,180.6501,174.3122,164.8036,167.9731,164.8036,171.1427,167.9731,164.8036,167.9731,152.1267,167.9731,164.8036,161.6341,167.9731,164.8036,KWh
13/03/2022,732330,13/03/2022,6792.7291,154.902,151.7406,151.7406,158.0624,151.7406,148.5791,142.2562,151.7406,151.7406,154.902,145.0476,157.6602,157.6602,157.6602,167.1205,157.6602,160.8136,160.8136,132.435,72.5244,94.5961,85.137,110.3622,69.3709,157.6602,145.0476,145.0476,148.201,145.0476,145.0476,145.0476,148.201,145.0476,141.8942,141.8942,138.7419,138.7419,141.8942,138.7419,138.7419,135.5884,138.7419,135.5884,148.201,138.7419,145.0476,145.0476,154.5079,KWh
